"ID","Tipo","Pregunta","Respuesta_Correcta_Opcion_1","Opcion_2_Falsa","Opcion_3_Falsa","Opcion_4_Falsa","Categoria"
"1","Opción Múltiple","¿Quién fue Marco Aurelio en la historia del Imperio Romano?","El último de los llamados 'Cinco Buenos Emperadores' y un destacado filósofo estoico.","El primer emperador cristiano que trasladó la capital a Constantinopla.","Un general cartaginés que lideró la rebelión en las Galias.","Un orador republicano que conspiró contra Julio César.","Historia y Biografía"
"2","Opción Múltiple","¿Cuál es el título de la célebre obra filosófica escrita por Marco Aurelio?","Meditaciones (escritos a sí mismo)","La República","El Enquiridión o Manual de Vida","Cartas a Lucilio",""
"3","Opción Múltiple","En el estoicismo, ¿en qué consiste la 'dicotomía del control'?","En distinguir entre lo que depende enteramente de nosotros (juicios, actos) y lo que no depende de nosotros (sucesos externos, opinión ajena).","En la separación estricta del poder ejecutivo entre el emperador y el Senado romano.","En dominar militarmente las provincias rebeldes mediante el control de recursos.","En la lucha psicológica entre el subconsciente biológico y la intervención divina.","Doctrina Estoica"
"4","Opción Múltiple","¿Cuáles son las cuatro virtudes cardinales que defiende la filosofía estoica?","Sabiduría práctica, valentía (coraje), justicia y templanza (moderación).","Fe, esperanza, caridad y piedad religiosa.","Ambición, riqueza, fuerza física y astucia.","Orgullo patrio, serenidad, elocuencia y beligerancia.","Doctrina Estoica"
"5","Opción Múltiple","¿Qué significa la expresión y actitud estoica conocida como 'Amor Fati'?","Aceptar y abrazar con serenidad el destino y todo lo que sucede, tanto lo favorable como lo adverso.","El amor romántico y pasional que debe profesarse a los seres queridos.","El desprecio activo hacia las leyes naturales y la fatalidad cósmica.","El anhelo obsesivo de alcanzar la inmortalidad terrenal y la gloria.","Conceptos Estoicos"
"6","Opción Múltiple","¿Qué representa el estado de 'Ataraxia' en el pensamiento estoico?","Un estado de serenidad, calma e imperturbabilidad del ánimo frente a las turbulencias de la vida.","Un éxtasis de euforia desbordante ante los placeres físicos.","El aislamiento ermitaño y el rechazo a cumplir deberes sociales.","La insensibilidad biológica o incapacidad médica para sentir dolor físico.","Conceptos Estoicos"
"7","Opción Múltiple","¿En qué idioma redactó Marco Aurelio originalmente sus 'Meditaciones'?","Griego koiné (el idioma de la filosofía en su época)","Latín vulgar de campaña","Arameo imperial","Etrusco antiguo","Historia y Biografía"
"8","Opción Múltiple","¿Qué filósofo anterior (un antiguo esclavo) influyó profundamente en el pensamiento de Marco Aurelio?","Epicteto","Epicuro","Aristipo de Cirene","Diógenes de Sinope","Historia y Filosofía"
"9","Opción Múltiple","¿Cómo entiende el estoicismo la idea del 'Cosmopolitismo'?","Considerar a todos los seres humanos como conciudadanos de una misma comunidad universal regida por la razón.","La obligación de viajar por todas las provincias del imperio para enriquecerse culturalmente.","La primacía de la ciudadanía romana por encima de cualquier otro pueblo considerado bárbaro.","El rechazo a cualquier tipo de ley civil o frontera política en favor de la anarquía.","Doctrina Estoica"
"10","Opción Múltiple","Según la ética estoica, ¿dónde residen el verdadero bien y el verdadero mal?","En nuestras propias decisiones morales, intenciones y juicios internos.","En la cantidad de riquezas materiales, salud y honores acumulados.","En el destino ciego y en los designios impredecibles de los dioses.","En el reconocimiento social y la aprobación del emperador o del Senado.","Doctrina Estoica"
"11","Opción Múltiple","¿A qué se refería Marco Aurelio con el término 'Hēgemonikon'?","A la facultad rectora de la mente o principio guía racional que juzga y dirige nuestras acciones.","Al comandante supremo de las legiones romanas en la frontera norte.","Al cetro ceremonial que utilizaba el emperador en los triunfos.","Al sistema fiscal tributario aplicado a las provincias senatoriales.","Conceptos Estoicos"
"12","Opción Múltiple","¿Cuál era la verdadera finalidad de Marco Aurelio al escribir sus reflexiones?","Como un diario íntimo de autoexamen y recordatorio ético personal, sin intención de ser publicado.","Un tratado de propaganda política dirigido a ganar el favor de la plebe.","Un manual de estrategia bélica redactado para sus generales en campaña.","Una propuesta de reforma jurídica enviada formalmente al Senado romano.","Historia y Biografía"
"13","Opción Múltiple","¿En qué consiste el ejercicio estoico de la 'Praemeditatio Malorum'?","En anticipar mentalmente dificultades, pérdidas o contratiempos para estar preparado y no ser sorprendido por el infortunio.","En desear males a los adversarios políticos antes de entrar en conflicto.","En obsesionarse con los fracasos del pasado para castigar la propia soberbia.","En creer ciegamente que todo lo malo sucederá por designio inexorable.","Práctica Estoica"
"14","Opción Múltiple","Para los estoicos, ¿qué son los 'indiferentes preferidos' (proēgmena)?","Cosas externas como la salud, la riqueza y el bienestar, que no son bienes morales en sí pero es natural preferir mientras no comprometan la virtud.","Placeres ilícitos que el sabio estoico puede practicar en secreto.","Individuos de la sociedad a los que el filósofo debe ignorar deliberadamente.","Leyes romanas secundarias cuyo cumplimiento era voluntario.","Doctrina Estoica"
"15","Opción Múltiple","¿Durante qué conflicto militar escribió Marco Aurelio gran parte de sus 'Meditaciones'?","Durante las Guerras Marcomanas, en campamentos militares junto al río Danubio.","Durante la conquista de Britania bajo el mandato de Claudio.","Durante la batalla de Accio contra las tropas de Marco Antonio.","Durante las Guerras Púnicas en el norte de África.","Historia y Biografía"
"16","Opción Múltiple","¿Qué sentido tiene el 'Memento Mori' en la reflexión de Marco Aurelio?","Recordar la mortalidad humana para no postergar la virtud, mantener la humildad y valorar el momento presente.","Un llamamiento nihilista a entregarse a los excesos hedonistas antes del fin.","Una condena religiosa hacia aquellos que no rinden tributo a los antepasados.","El miedo paralizante hacia la muerte que obliga al aislamiento social.","Conceptos Estoicos"
"17","Opción Múltiple","¿Qué representa el 'Logos' en la cosmovisión de Marco Aurelio y los estoicos?","La razón divina universal que impregna, ordena y dota de sentido armónico a toda la naturaleza.","El emblema de la legión romana bordado en el estandarte del emperador.","La creencia de que el cosmos es un caos ciego sin ningún tipo de ley o patrón.","El nombre del primer libro de leyes escrito por la dinastía Antonina.","Doctrina Estoica"
"18","Opción Múltiple","Frente a quienes actúan con mezquindad o daño, ¿qué postura aconseja Marco Aurelio al inicio del Libro II?","Reconocer que actúan por ignorancia del bien, no airarse contra ellos y cooperar como miembros de un mismo cuerpo.","Castigarlos implacablemente con la pena capital para servir de escarmiento público.","Responder con las mismas tácticas deshonestas para asegurar la supervivencia.","Exiliarse de Roma para evitar el trato con personas imperfectas.","Práctica Estoica"
"19","Opción Múltiple","¿Quién fue el fundador de la escuela estoica en Atenas alrededor del 300 a.C.?","Zenón de Citio (impartía lecciones en la 'Stoa Poikile')","Séneca el Joven","Aristóteles de Estagira","Tales de Mileto","Historia y Filosofía"
"20","Opción Múltiple","¿Qué significa el concepto estoico de 'Apatheia'?","Liberación y ausencia de pasiones destructivas e impulsos irracionales (no apatía ni desidia moderna).","Falta absoluta de empatía y desprecio por el sufrimiento ajeno.","La pereza moral o negativa a asumir responsabilidades civiles.","El silencio perpetuo como voto de castidad filosófica.","Conceptos Estoicos"
"21","Pregunta Abierta / Reflexiva","¿Cómo utilizó Marco Aurelio los principios estoicos para gestionar el inmenso estrés de gobernar Roma en medio de la peste antonina y las guerras marcomanas?","","","","","Reflexión y Análisis"
"22","Pregunta Abierta / Reflexiva","Explica la diferencia entre los acontecimientos externos y los juicios internos según el estoicismo. ¿Por qué decía Marco Aurelio que las cosas externas no tocan el alma?","","","","","Reflexión y Análisis"
"23","Pregunta Abierta / Reflexiva","¿De qué manera la práctica constante del 'Memento Mori' ayudó a Marco Aurelio a evitar la tiranía y la arrogancia que caracterizó a otros gobernantes romanos?","","","","","Reflexión y Análisis"
"24","Pregunta Abierta / Reflexiva","¿Por qué para los estoicos la virtud es considerada 'el único bien' suficiente para alcanzar la felicidad (eudaimonía), mientras que la riqueza o el éxito social son solo secundarios?","","","","","Reflexión y Análisis"
"25","Pregunta Abierta / Reflexiva","Aplica la 'dicotomía del control' a una situación difícil de tu vida cotidiana actual: ¿qué aspectos concretos dependen de ti y cuáles escapan a tu control?","","","","","Aplicación Práctica"
